depuis	ADV	depuis
l'	DET:def	le
autre	ADJ	autre
fois	NOM	fois
sérieux	ADJ	sérieux
enfin	ADV	enfin
genre	NOM	genre
euh	INT	euh
on	PRO:cls	on
était	VER:impf	être
chez	PRP	chez
¤Pren¤	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
euh	INT	euh
genre	NOM	genre
euh	INT	euh
j'	PRO:cls	je
étais	VER:impf	être
dans	PRP	dans
son	DET:pos	son
village	NOM	village
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
et	KON	et
on	PRO:cls	on
allait	VER:impf	aller
acheter	VER:infi	acheter
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
quoi	INT	quoi
et	KON	et
on	PRO:cls	on
y	PRO:clo	y
va	VER:pres	aller
et	KON	et
tout	PRO:ind	tout
et	KON	et
là	ADV	là
genre	NOM	genre
on	PRO:cls	on
arrive	VER:pres	arriver
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
le	DET:def	le
rond	ADJ	rond
point	NOM	point
là	ADV	là
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
nous	PRO:ton	nous
on	PRO:cls	on
arrivait	VER:impf	arriver
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
et	KON	et
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
genre	NOM	genre
on	PRO:cls	on
arrive	VER:pres	arriver
au	PRP:det	au
rond	NOM	rond
point	NOM	point
une	DET:ind	un
voiture	NOM	voiture
qui	PRO:rel	qui
file	VER:pres	filer
comme	KON	comme
ça	PRO:cls	ça
double	VER:pres	doubler
et	KON	et
qui	PRO:rel	qui
nous	PRO:clo	nous
passe	VER:pres	passer
devant	ADV	devant
comme	KON	comme
ça	PRO:ton	ça
mais	KON	mais
genre	NOM	genre
heureusement	ADV	heureusement
qu'	KON	que
elle	PRO:cls	elle
a	AUX:pres	avoir
freiné	VER:pper	freiner
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
derrière	PRP	derrière
les	DET:def	le
flics	NOM	flic
avec	PRP	avec
le	DET:def	le
truc	NOM	truc
tulutululu	ADJ	<unknown>
t-	TRC	t-
oh	INT	oh
ils	PRO:cls	il
nous	PRO:clo	nous
doublent	VER:pres	doubler
pareil	ADJ	pareil
et	KON	et
tout	PRO:ind	tout
oh	INT	oh
ils	PRO:cls	il
partent	VER:pres	partir
en	PRP	en
face	NOM	face
tout	ADV	tout
droit	ADJ	droit
tu	PRO:cls	tu
vois	VER:pres	voir
mais	KON	mais
genre	NOM	genre
en	PRP	en
deux	NUM	@card@
secondes	NOM	seconde
on	PRO:cls	on
les	PRO:clo	le
a	AUX:pres	avoir
plus	ADV	plus
vus	VER:pper	voir
hein	INT	hein
ils	PRO:cls	il
étaient	VER:impf	être
à	PRP	à
fond	NOM	fond
et	KON	et
tout	PRO:ind	tout
oh	INT	oh
la	DET:def	le
vache	NOM	vache
et	KON	et
genre	NOM	genre
euh	INT	euh
nous	PRO:ton	nous
on	PRO:cls	on
rentrait	VER:impf	rentrer
tranquille	ADJ	tranquille
et	KON	et
tout	PRO:ind	tout
et	KON	et
euh	INT	euh
genre	NOM	genre
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
un	DET:ind	un
kilomètre	NOM	kilomètre
plus	ADV	plus
loin	ADV	loin
le	DET:def	le
gars	NOM	gars
avec	PRP	avec
les	DET:def	le
menottes	NOM	menotte
oh	INT	oh
en	PRP	en
fait	NOM	fait
il	PRO:cls	il
avait	AUX:impf	avoir
voulu	VER:pper	vouloir
tourner	VER:infi	tourner
dans	PRP	dans
une	DET:ind	un
grange	NOM	grange
tu	PRO:cls	tu
vois	VER:pres	voir
chez	PRP	chez
quelqu'un	PRO:ind	quelqu'un
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
impasse	NOM	impasse
sauf	PRP	sauf
que	KON	que
bah	INT	bah
la	DET:def	le
police	NOM	police
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
cramé	VER:pper	cramer
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
donc	ADV	donc
euh	INT	euh
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
arrêté	VER:pper	arrêter
le	DET:def	le
gars	NOM	gars
il	PRO:cls	il
était	VER:impf	être
comme	KON	comme
ça	PRO:ton	ça
sur	PRP	sur
le	DET:def	le
capot	NOM	capot
avec	PRP	avec
les	DET:def	le
menottes	NOM	menotte
et	KON	et
tout	PRO:ind	tout
ouais	FNO	ouais
comme	KON	comme
dans	PRP	dans
les	DET:def	le
films	NOM	film
nous	PRO:ton	nous
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
vu	VER:pper	voir
non	FNO	non
mais	KON	mais
et	KON	et
je	PRO:cls	je
te	PRO:clo	te
jure	VER:pres	jurer
on	PRO:cls	on
aurait	AUX:cond	avoir
pu	VER:pper	pouvoir
avoir	VER:infi	avoir
un	DET:ind	un
accident	NOM	accident
hein	INT	hein
on	PRO:cls	on
était	VER:impf	être
là	ADV	là
genre	NOM	genre
et	KON	et
lui	PRO:ton	lui
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
il	PRO:cls	il
a	AUX:pres	avoir
déboulé	VER:pper	débouler
comme	KON	comme
ça	PRO:ton	ça
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
à	PRP	à
partir	VER:infi	partir
de	PRP	de
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
ligne	NOM	ligne
continue	VER:pres	continuer
enfin	ADV	enfin
bah	INT	bah
oui	FNO	oui
ouais	FNO	ouais
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
de	PRP	de
doubler	VER:infi	doubler
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
et	KON	et
il	PRO:clsi	il
nous	PRO:clo	nous
est	AUX:pres	être
passé	VER:pper	passer
devant	ADV	devant
comme	KON	comme
ça	PRO:ton	ça
les	DET:def	le
flics	NOM	flic
pareil	ADJ	pareil
putain	INT	putain
mais	KON	mais
j'	PRO:cls	je
ai	AUX:pres	avoir
flippé	VER:pper	flipper
moi	PRO:ton	moi
hein	INT	hein
ça	PRO:cls	ça
faisait	VER:impf	faire
vraiment	ADV	vraiment
comme	KON	comme
dans	PRP	dans
les	DET:def	le
films	NOM	film
tu	PRO:cls	tu
sais	VER:pres	savoir
/moiouais/	MLT	<unknown>
ça	PRO:ton	ça
ça	PRO:cls	ça
me	PRO:clo	me
rappelle	VER:pres	rappeler
un	DET:ind	un
coup	NOM	coup
euh	INT	euh
¤Pren¤	NAM	<unknown>
et	KON	et
¤Pren¤	NAM	<unknown>
un	DET:ind	un
coup	NOM	coup
on	PRO:cls	on
j'	PRO:cls	je
étais	VER:impf	être
avec	PRP	avec
euh	INT	euh
¤Pren¤	NAM	<unknown>
et	KON	et
¤Pren¤	NAM	<unknown>
je	PRO:cls	je
crois	VER:pres	croire
et	KON	et
puis	KON	puis
on	PRO:cls	on
allait	VER:impf	aller
euh	INT	euh
à	PRP	à
Remiremont	NAM	<unknown>
et	KON	et
euh	INT	euh
ouais	FNO	ouais
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
ma	DET:pos	mon
voiture	NOM	voiture
et	KON	et
puis	KON	puis
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
pris	VER:pper	prendre
la	DET:def	le
sienne	PRO:pos	sien
on	PRO:cls	on
s'	PRO:clo	se
est	AUX:pres	être
rejoint	VER:pper	rejoindre
à	PRP	à
la	DET:def	le
à	PRP	à
la	DET:def	le
mairie	NOM	mairie
du	PRP:det	du
Syndicat	NOM	syndicat
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
¤Pren¤	NAM	<unknown>
il	PRO:clsi	il
me	PRO:clo	me
fait	VER:pres	faire
euh	INT	euh
bah	INT	bah
passe	VER:impe	passer
devant	ADV	devant
je	PRO:cls	je
dis	VER:pres	dire
.	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
j'	PRO:cls	je
arrive	VER:pres	arriver
au	PRP:det	au
rond	NOM	rond
point	NOM	point
du	PRP:det	du
Syndicat	NOM	syndicat
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
la	DET:def	le
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
la	DET:def	le
boulangerie	NOM	boulangerie
là	ADV	là
ouais	FNO	ouais
et	KON	et
j'	PRO:cls	je
arrive	VER:pres	arriver
euh	INT	euh
au	PRP:det	au
rond	NOM	rond
point	NOM	point
lui	PRO:ton	lui
il	PRO:cls	il
était	VER:impf	être
derrière	ADV	derrière
moi	PRO:ton	moi
tu	PRO:cls	tu
sais	VER:pres	savoir
où	PRO:int	où
il	PRO:cls	il
passe	VER:pres	passer
il	PRO:cls	il
passe	VER:pres	passer
dans	PRP	dans
la	DET:def	le
boulangerie	NOM	boulangerie
