donc	ADV	donc
on	PRO:cls	on
met	VER:pres	mettre
plus	ADV	plus
on	PRO:cls	on
met	VER:pres	mettre
là	ADV	là
ah	INT	ah
ben	INT	ben
oui	FNO	oui
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
plein	ADV	plein
je	PRO:cls	je
crois	VER:pres	croire
hein	INT	hein
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
plein	ADV	plein
de	PRP	de
l'	DET:def	le
extérieur	NOM	extérieur
il	PRO:clsi	il
faudrait	VER:cond	falloir
qu'	KON	que
on	PRO:cls	on
regarde	VER:pres	regarder
ben	INT	ben
à	PRP	à
mon	DET:pos	mon
avis	NOM	avis
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
grandes	ADJ	grand
en	PRP	en
plus	ADV	plus
donc	ADV	donc
euh	INT	euh
ouais	FNO	ouais
ouais	FNO	ouais
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
juste	ADV	juste
une	DET:ind	un
série	NOM	série
qui	PRO:rel	qui
clignote	VER:pres	clignoter
plus	ADV	plus
ça	PRO:cls	ça
se	PRO:clo	se
voit	VER:pres	voir
là	ADV	là
qui	PRO:rel	qui
doit	VER:pres	devoir
être	AUX:infi	être
foutue	VER:pper	foutre
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
une	NUM	@card@
qui	PRO:rel	qui
est	VER:pres	être
ou	KON	ou
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
une	NUM	@card@
qui	PRO:rel	qui
est	AUX:pres	être
foutue	VER:pper	foutre
dedans	ADV	dedans
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
ouais	FNO	ouais
ou	KON	ou
elle	PRO:cls	elle
est	VER:pres	être
mal	ADV	mal
euh	INT	euh
fixée	VER:pper	fixer
tu	PRO:cls	tu
sais	VER:pres	savoir
des	DET:ind	un
fois	NOM	fois
ouais	FNO	ouais
oh	INT	oh
mais	KON	mais
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
je	PRO:cls	je
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
là	ADV	là
en-haut	NOM	<unknown>
euh	INT	euh
des	DET:ind	un
cartons	NOM	carton
de	PRP	de
Noël	NAM	Noël
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
le	DET:def	le
tri	NOM	tri
mais	KON	mais
je	PRO:cls	je
veux	VER:pres	vouloir
toujours	ADV	toujours
attendre	VER:infi	attendre
je	PRO:cls	je
me	PRO:clo	me
dis	VER:pres	dire
si	KON	si
jamais	ADV	jamais
elle	PRO:ton	elle
elle	PRO:cls	elle
veut	VER:pres	vouloir
être	AUX:infi	être
prof	NOM:trc	professeur
des	DET:ind	un
écoles	NOM	école
hum	FNO	hum
hum	FNO	hum
si	KON	si
elle	PRO:cls	elle
veut	VER:pres	vouloir
faire	VER:infi	faire
un	DET:ind	un
sapin	NOM	sapin
plus	ADV	plus
tard	ADV	tard
il	PRO:clsi	il
lui	PRO:clo	lui
faudra	VER:futu	falloir
des	DET:ind	un
trucs	NOM	truc
pour	PRP	pour
l'	DET:def	le
école	NOM	école
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
qu'	KON	que
on	PRO:cls	on
devait	VER:impf	devoir
toujours	ADV	toujours
donner	VER:infi	donner
ouais	FNO	ouais
m-	TRC	m-
hein	INT	hein
mais	KON	mais
l'	DET:def	le
école	NOM	école
elle	PRO:cls	elle
a	VER:pres	avoir
déjà	ADV	déjà
hein	INT	hein
ouais	FNO	ouais
