-y	PRO:clo	y
ben	INT	ben
oui	FNO	oui
oui	FNO	oui
ils	PRO:cls	il
lui	PRO:clo	lui
bandaient	VER:impf	bander
la	DET:def	le
jambe	NOM	jambe
ils	PRO:cls	il
lui	PRO:clo	lui
ils	PRO:cls	il
lui	PRO:clo	lui
mettaient	VER:impf	mettre
le	DET:def	le
truc	NOM	truc
au	PRP:det	au
bras	NOM	bras
comme	KON	comme
ça	PRO:ton	ça
xxx	NOM	<unknown>
et	KON	et
ils	PRO:cls	il
tenaient	VER:impf	tenir
le	DET:def	le
bras	NOM	bras
et	KON	et
il	PRO:cls	il
faisait	VER:impf	faire
merci	FNO	merci
xxx	NOM	<unknown>
les	DET:def	le
deux	NUM	@card@
infirmières	NOM	infirmière
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
notre	DET:pos	notre
dernière	ADJ	dernier
école	NOM	école
maternelle	ADJ	maternel
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
fait	VER:pper	faire
ça	PRO:ton	ça
ouais	FNO	ouais
oui	FNO	oui
c'	PRO:cls	ce
était	VER:impf	être
en	PRP	en
grande	ADJ	grand
section	NOM	section
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
bon	INT	bon
et	KON	et
ben	INT	ben
je	PRO:cls	je
vous	PRO:clo	vous
remercie	VER:pres	remercier
Mesdemoiselles	NOM	mesdemoiselles
on	PRO:cls	on
va	VER:pres	aller
retourner	VER:infi	retourner
en	PRP	en
classe	NOM	classe
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
