Conversation	NOM	conversation
qu'	KON	que
elle	PRO:cls	elle
est	AUX:pres	être
pas	ADV	pas
couchée	VER:pper	coucher
c'	PRO:cls	ce
est	VER:pres	être
Margaux	NOM	<unknown>
biscotot	NOM	<unknown>
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
Noé	NOM	<unknown>
jambes	NOM	jambe
cassées	ADJ	cassé
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
Mathieu	NOM	<unknown>
n'	ADV	ne
a	VER:pres	avoir
qu'	KON	que
un	DET:ind	un
cheveux	NOM	cheveu
c'	PRO:cls	ce
était	VER:impf	être
trop	ADV	trop
et	KON	et
lui	PRO:ton	lui
on	PRO:cls	on
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
Noé	NOM	<unknown>
jambes	NOM	jambe
cassées	ADJ	cassé
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
trouvé	VER:pper	trouver
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
ah	INT	ah
ouais	FNO	ouais
ici	ADV	ici
il	PRO:cls	il
fait	VER:pres	faire
quoi	PRO:int	quoi
celui-là	PRO:dem	celui-là
ben	INT	ben
il	PRO:cls	il
prend	VER:pres	prendre
les	DET:def	le
crêpes	NOM	crêpe
et	KON	et
puis	KON	puis
il	PRO:clsi	il
les	PRO:clo	le
met	VER:pres	mettre
sur	PRP	sur
sur	PRP	sur
sa	DET:pos	son
tête	NOM	tête
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:cls	il
prend	VER:pres	prendre
il	PRO:cls	il
prend	VER:pres	prendre
le	DET:def	le
poulet	NOM	poulet
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
poulet	NOM	poulet
et	KON	et
le	DET:def	le
poulet	NOM	poulet
il	PRO:cls	il
est	VER:pres	être
sur	PRP	sur
sa	DET:pos	son
tête	NOM	tête
xxx	NOM	<unknown>
tête	NOM	tête
de	PRP	de
la	DET:def	le
viande	NOM	viande
il	PRO:cls	il
prend	VER:pres	prendre
la	DET:def	le
viande	NOM	viande
et	KON	et
puis	KON	puis
poum	NOM	<unknown>
sur	PRP	sur
sa	DET:pos	son
tête	NOM	tête
ouais	FNO	ouais
alors	ADV	alors
que	KON	que
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
la	PRO:clo	le
hacher	VER:infi	hacher
la	DET:def	le
viande	NOM	viande
mm	NOM	<unknown>
ouais	FNO	ouais
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
train	NOM	train
d'	PRP	un
hacher	VER:infi	hacher
la	DET:def	le
viande	NOM	viande
ben	INT	ben
il	PRO:cls	il
a	VER:pres	avoir
qu'	KON	que
à	PRP	à
lâcher	VER:infi	lâcher
ça	PRO:ton	ça
hein	INT	hein
il	PRO:cls	il
a	VER:pres	avoir
qu'	KON	que
à	PRP	à
le	DET:def	le
lâcher	NOM	lâcher
comme	KON	comme
ça	PRO:ton	ça
ça	PRO:cls	ça
va	VER:pres	aller
plus	ADV	plus
vite	ADV	vite
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
eux	PRO:ton	eux
ils	PRO:cls	il
jouent	VER:pres	jouer
à	PRP	à
l'	DET:def	le
arc	NOM	arc
ils	PRO:cls	il
font	VER:pres	faire
xxx	NOM	<unknown>
avec	PRP	avec
des	DET:ind	un
épées	NOM	épée
sauf	PRP	sauf
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
cuillères	NOM	cuillère
ouais	FNO	ouais
eux	PRO:ton	eux
ils	PRO:cls	il
jouent	VER:pres	jouer
aux	PRP:det	au
épées	NOM	épée
ils	PRO:cls	il
font	VER:pres	faire
ça	PRO:ton	ça
chta	VER:simp	<unknown>
pan	NOM	pan
euh	INT	euh
ah	INT	ah
ouais	FNO	ouais
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
un	DET:ind	un
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
épée	NOM	épée
puis	KON	puis
lui	PRO:ton	lui
une	DET:ind	un
cuillère	NOM	cuillère
lui	PRO:ton	lui
lui	PRO:ton	lui
il	PRO:cls	il
fait	VER:pres	faire
pof	NOM	<unknown>
il	PRO:clsi	il
lui	PRO:clo	lui
lance	VER:pres	lancer
la	DET:def	le
cuillère	NOM	cuillère
puis	KON	puis
il	PRO:clsi	il
lui	PRO:clo	lui
reste	VER:pres	rester
plus	ADV	plus
qu'	KON	que
un	DET:ind	un
tout	DET:ind	tout
mini	ADJ	mini
bout	NOM	bout
pof	NOM	<unknown>
il	PRO:clsi	il
lui	PRO:clo	lui
coupe	VER:pres	couper
la	DET:def	le
main	NOM	main
ouais	FNO	ouais
et	KON	et
même	ADV	même
le	DET:def	le
bras	NOM	bras
avec	PRP	avec
pan	NOM	pan
et	KON	et
il	PRO:clsi	il
lui	PRO:clo	lui
enfonce	VER:pres	enfoncer
bing	NOM	<unknown>
il	PRO:clsi	il
lui	PRO:clo	lui
coupe	VER:pres	couper
il	PRO:clsi	il
lui	PRO:clo	lui
il	PRO:clsi	il
fait	VER:pres	faire
ça	PRO:ton	ça
oh	INT	oh
pchhh	NOM	<unknown>
il	PRO:clsi	il
le	PRO:clo	le
coupe	VER:pres	couper
mais	KON	mais
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
une	DET:ind	un
épée	NOM	épée
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
pierre	NOM	pierre
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
mais	KON	mais
oui	FNO	oui
mais	KON	mais
euh	INT	euh
imagine	VER:impe	imaginer
hein	INT	hein
imagine	VER:impe	imaginer
lui	PRO:clo	lui
il	PRO:clsi	il
a	VER:pres	avoir
une	DET:ind	un
épée	NOM	épée
ah	INT	ah
ben	INT	ben
oui	FNO	oui
si	KON	si
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
épée	NOM	épée
euh	INT	euh
ben	INT	ben
oui	FNO	oui
imagine	VER:impe	imaginer
lui	PRO:clo	lui
il	PRO:clsi	il
a	VER:pres	avoir
une	DET:ind	un
épée	NOM	épée
bing	NOM	<unknown>
pon	NOM	<unknown>
pon	NOM	<unknown>
pan	NOM	pan
il	PRO:clsi	il
lui	PRO:clo	lui
il	PRO:clsi	il
lui	PRO:clo	lui
il	PRO:clsi	il
lui	PRO:clo	lui
coupe	VER:pres	couper
la	DET:def	le
main	NOM	main
et	KON	et
puis	KON	puis
après	ADV	après
il	PRO:cls	il
fait	VER:pres	faire
oh	INT	oh
et	KON	et
puis	KON	puis
après	ADV	après
pchhh	ADJ	<unknown>
pchhh	NOM	<unknown>
pan	NOM	pan
pchhh	NOM	<unknown>
dans	PRP	dans
l'	DET:def	le
oeil	NOM	oeil
dans	PRP	dans
l'	DET:def	le
oeil	NOM	oeil
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
gentil	ADJ	gentil
hein	INT	hein
ben	INT	ben
non	FNO	non
parce	TRC	parce
que	KON	que
comme	KON	comme
ca	NOM	<unknown>
ca	NOM	<unknown>
fait	VER:pper	faire
pchit	VER:simp	<unknown>
oh	INT	oh
poum	NOM	<unknown>
et	KON	et
lui	PRO:ton	lui
aussi	ADV	aussi
il	PRO:cls	il
meurt	VER:pres	mourir
ben	INT	ben
oui	FNO	oui
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
si	KON	si
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
épée	NOM	épée
dans	PRP	dans
l'	DET:def	le
oeil	NOM	oeil
il	PRO:cls	il
fait	VER:pres	faire
ah	INT	ah
et	KON	et
deux	NUM	@card@
épées	NOM	épée
dans	PRP	dans
l'	DET:def	le
oeil	NOM	oeil
il	PRO:cls	il
fait	VER:pres	faire
pchhh	NOM	<unknown>
oh	INT	oh
poum	NOM	<unknown>
et	KON	et
il	PRO:cls	il
tombe	VER:pres	tomber
il	PRO:cls	il
tombe	VER:pres	tomber
par	PRP	par
terre	NOM	terre
regarde	VER:impe	regarder
lui	PRO:ton	lui
lui	PRO:ton	lui
deux	NUM	@card@
épées	NOM	épée
lui	PRO:clo	lui
arrivent	VER:pres	arriver
dans	PRP	dans
les	DET:def	le
yeux	NOM	oeil
piou	NOM	<unknown>
piou	NOM	<unknown>
oh	INT	oh
poum	NOM	<unknown>
tu	PRO:cls	tu
aimes	VER:pres	aimer
bien	ADV	bien
ça	PRO:ton	ça
toi	PRO:ton	toi
les	DET:def	le
jeux	NOM	jeu
de	PRP	de
combat	NOM	combat
euh	INT	euh
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
un	DET:ind	un
pim	NOM	<unknown>
il	PRO:cls	il
lance	VER:pres	lancer
des	DET:ind	un
couteaux	NOM	couteau
pim	NOM	<unknown>
ça	PRO:cls	ça
vient	VER:pres	venir
sur	PRP	sur
lui	PRO:ton	lui
oh	INT	oh
poum	NOM	<unknown>
puis	KON	puis
après	ADV	après
il	PRO:clsi	il
lui	PRO:clo	lui
relance	VER:pres	relancer
un	DET:ind	un
couteau	NOM	couteau
pan	NOM	pan
oh	INT	oh
et	KON	et
pam	NOM	<unknown>
oh	INT	oh
piou	NOM	<unknown>
puis	KON	puis
après	ADV	après
il	PRO:clsi	il
lui	PRO:clo	lui
fait	VER:pres	faire
ça	PRO:ton	ça
pchhh	NOM	<unknown>
pchhh	NOM	<unknown>
pchhh	NOM	<unknown>
pchhh	NOM	<unknown>
pchhh	NOM	<unknown>
et	KON	et
ça	PRO:cls	ça
s'	PRO:clo	se
arrête	VER:pres	arrêter
à	PRP	à
un	DET:ind	un
moment	NOM	moment
quand	KON	quand
même	ADV	même
et	KON	et
puis	KON	puis
après	ADV	après
il	PRO:cls	il
est	AUX:pres	être
mort	VER:pper	mourir
et	KON	et
puis	KON	puis
il	PRO:clsi	il
lui	PRO:clo	lui
lance	VER:pres	lancer
des	DET:ind	un
en	PRP	en
plus	ADV	plus
il	PRO:clsi	il
lui	PRO:clo	lui
lance	VER:pres	lancer
une	DET:ind	un
flèche	NOM	flèche
pointue	ADJ	pointu
pchhh	NOM	<unknown>
hum	FNO	hum
puis	KON	puis
après	ADV	après
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
ouais	FNO	ouais
mais	KON	mais
euh	INT	euh
l-	TRC	l-
les	DET:def	le
flèches	NOM	flèche
pointues	ADJ	pointu
les	DET:def	le
comme	KON	comme
ça	PRO:ton	ça
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
avec	PRP	avec
son	DET:pos	son
arc	NOM	arc
il	PRO:cls	il
tire	VER:pres	tirer
même	ADV	même
pas	ADV	pas
il	PRO:cls	il
attend	VER:pres	attendre
que	KON	que
l'	DET:def	le
autre	ADJ	autre
il	PRO:clsi	il
lui	PRO:clo	lui
tire	VER:pres	tirer
dessus	ADV	dessus
dessus	ADV	dessus
puis	KON	puis
après	ADV	après
il	PRO:clsi	il
lui	PRO:clo	lui
fait	VER:pres	faire
piou	NOM	<unknown>
oh	INT	oh
et	KON	et
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
ça	PRO:ton	ça
où	PRO:rel	où
ben	INT	ben
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
inventé	VER:pper	inventer
tu	PRO:cls	tu
as	AUX:pres	avoir
inventé	VER:pper	inventer
oh	INT	oh
regarde	VER:impe	regarder
regarde	VER:impe	regarder
lui	PRO:ton	lui
comment	PRO:int	comment
il	PRO:cls	il
va	VER:pres	aller
manger	VER:infi	manger
le	DET:def	le
gâteau	NOM	gâteau
il	PRO:cls	il
ouvre	VER:pres	ouvrir
sa	DET:pos	son
bouche	NOM	bouche
grande	ADJ	grand
ouverte	VER:pper	ouvrir
comme	KON	comme
ca	NOM	<unknown>
ah	INT	ah
hum	FNO	hum
et	KON	et
et	KON	et
puis	KON	puis
avec	PRP	avec
la	DET:def	le
bougie	NOM	bougie
il	PRO:cls	il
voit	VER:pres	voir
rien	PRO:ind	rien
et	KON	et
puis	KON	puis
il	PRO:cls	il
va	VER:pres	aller
manger	VER:infi	manger
la	DET:def	le
bougie	NOM	bougie
ouais	FNO	ouais
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
grande	ADJ	grand
bouche	NOM	bouche
quand	KON	quand
même	ADV	même
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
grand	ADJ	grand
le	DET:def	le
gâteau	NOM	gâteau
hein	INT	hein
ouais	FNO	ouais
xxx	NOM	<unknown>
ouh	INT	ouh
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ce	DET:dem	ce
poisson	NOM	poisson
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
tuba	NOM	tuba
et	KON	et
puis	KON	puis
un	DET:ind	un
masque	NOM	masque
ouais	FNO	ouais
mais	KON	mais
euh	INT	euh
une	DET:ind	un
flèche	NOM	flèche
piou	NOM	<unknown>
une	DET:ind	un
flèche	NOM	flèche
comme	KON	comme
ca	NOM	<unknown>
piou	NOM	<unknown>
dans	PRP	dans
l'	DET:def	le
autre	ADJ	autre
dans	PRP	dans
dans	PRP	dans
un	DET:ind	un
oeil	NOM	oeil
et	KON	et
puis	KON	puis
pon	NOM	<unknown>
dans	PRP	dans
l'	DET:def	le
oeil	NOM	oeil
euh	INT	euh
purée	INT	purée
ça	PRO:cls	ça
fait	VER:pres	faire
trop	ADV	trop
mal	ADV	mal
et	KON	et
puis	KON	puis
on	PRO:cls	on
doit	VER:pres	devoir
être	AUX:infi	être
mort	VER:pper	mourir
hein	INT	hein
hum	FNO	hum
ah	INT	ah
oui	FNO	oui
là	ADV	là
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
on	PRO:cls	on
est	AUX:pres	être
mort	VER:pper	mourir
hein	INT	hein
oui	FNO	oui
et	KON	et
puis	KON	puis
euh	INT	euh
pim	NOM	<unknown>
des	PRP:det	du
flèches	NOM	flèche
piou	NOM	<unknown>
dans	PRP	dans
les	DET:def	le
trous	NOM	trou
de	PRP	de
nez	NOM	nez
oh	INT	oh
pim	NOM	<unknown>
oh	INT	oh
bah	INT	bah
des	DET:ind	un
flèches	NOM	flèche
ben	INT	ben
oui	FNO	oui
oh	INT	oh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
du	PRP:det	du
sang	NOM	sang
à	PRP	à
l'	DET:def	le
aide	NOM	aide
à	PRP	à
l'	DET:def	le
aide	NOM	aide
-moi	PRO:clo	moi
aidez	VER:pres	aider
pouah	NOM	<unknown>
pan	NOM	pan
bêêê	NOM	<unknown>
et	KON	et
Margaux	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
où	PRO:int	où
Margaux	NOM	<unknown>
Margaux	NOM	<unknown>
biscotot	NOM	<unknown>
ouais	FNO	ouais
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Margaux	NOM	<unknown>
biscotot	NOM	<unknown>
attends	VER:impe	attendre
j'	PRO:cls	je
écoute	VER:pres	écouter
il	PRO:clsi	il
me	PRO:clo	me
semble	VER:pres	sembler
où	PRO:int	où
elle	PRO:cls	elle
est	VER:pres	être
Margaux	NOM	<unknown>
biscotot	NOM	<unknown>
alors	ADV	alors
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
côté	NOM	côté
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Margauc	NOM	<unknown>
biscotot	NOM	<unknown>
et	KON	et
Margaux	NOM	<unknown>
biscotot	ADJ	<unknown>
Mar-gaux	NOM	<unknown>
biscotot	NOM	<unknown>
eh	INT	eh
ouais	FNO	ouais
elle	PRO:cls	elle
est	VER:pres	être
là	ADV	là
elle	PRO:cls	elle
est	AUX:pres	être
cachée	VER:pper	cacher
sous	PRP	sous
la	DET:def	le
casserole	NOM	casserole
elle	PRO:cls	elle
ouais	FNO	ouais
elle	PRO:cls	elle
fait	VER:pres	faire
des	DET:ind	un
xxx	NOM	<unknown>
ouah	INT	ouah
avec	PRP	avec
ses	DET:pos	son
muscles	NOM	muscle
elle	PRO:cls	elle
pourrait	VER:cond	pouvoir
moi	PRO:ton	moi
je	PRO:cls	je
pourrais	VER:cond	pouvoir
la	PRO:clo	le
mettre	VER:infi	mettre
par	PRP	par
terre	NOM	terre
hein	INT	hein
tu	PRO:cls	tu
pourrais	VER:cond	pouvoir
la	PRO:clo	le
mettre	VER:infi	mettre
par	PRP	par
terre	NOM	terre
toi	PRO:ton	toi
ben	INT	ben
oui	FNO	oui
je	PRO:cls	je
pense	VER:pres	penser
parce	TRC	parce
que	ADV	que
vu	VER:pper	voir
elle	PRO:ton	elle
elle	PRO:cls	elle
a	VER:pres	avoir
des	DET:ind	un
tous	ADV	tout
petits	ADJ	petit
des	DET:ind	un
tous	DET:pre	tout
des	DET:ind	un
mini	ADJ	mini
muscles	NOM	muscle
hein	INT	hein
et	KON	et
puis	KON	puis
moi	PRO:ton	moi
je	PRO:cls	je
pourrais	VER:cond	pouvoir
la	PRO:clo	le
prendre	VER:infi	prendre
et	KON	et
bing	NOM	<unknown>
xxx	NOM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
ben	INT	ben
moi	PRO:ton	moi
en	PRP	en
plus	ADV	plus
je	PRO:cls	je
pourrais	VER:cond	pouvoir
la	PRO:clo	le
frotter	VER:infi	frotter
contre	PRP	contre
un	DET:ind	un
mur	NOM	mur
qui	PRO:rel	qui
pique	VER:pres	piquer
hein	INT	hein
contre	ADV	contre
un	DET:ind	un
mur	NOM	mur
qui	PRO:rel	qui
pique	VER:pres	piquer
ben	INT	ben
oui	FNO	oui
même	ADV	même
elle	PRO:cls	elle
pourrait	VER:cond	pouvoir
avoir	VER:infi	avoir
euh	INT	euh
plein	ADV	plein
de	PRP	de
sang	NOM	sang
dans	PRP	dans
le	DET:def	le
dos	NOM	dos
hein	INT	hein
tu	PRO:cls	tu
es	VER:pres	être
pas	ADV	pas
gentil	ADJ	gentil
la	DET:def	le
pauvre	NOM	pauvre
ben	INT	ben
quoi	INT	quoi
ben	INT	ben
quoi	INT	quoi
si	KON	si
elle	PRO:cls	elle
fait	VER:pres	faire
mal	ADV	mal
aux	PRP:det	au
gens	NOM	gens
moi	PRO:ton	moi
je	PRO:cls	je
lui	PRO:clo	lui
fais	VER:pres	faire
mal	ADV	mal
hein	INT	hein
ben	INT	ben
si	KON	si
elle	PRO:cls	elle
fait	VER:pres	faire
mal	ADV	mal
aux	PRP:det	au
gens	NOM	gens
mais	KON	mais
alors	ADV	alors
là	ADV	là
elle	PRO:cls	elle
fait	VER:pres	faire
pas	ADV	pas
mal	ADV	mal
aux	PRP:det	au
gens	NOM	gens
elle	PRO:cls	elle
joue	VER:pres	jouer
avec	PRP	avec
la	DET:def	le
casserole	NOM	casserole
ben	INT	ben
oui	FNO	oui
mais	KON	mais
si	KON	si
elle	PRO:cls	elle
f-	TRC	f-
mais	KON	mais
ben	INT	ben
oui	FNO	oui
mais	KON	mais
si	KON	si
elle	PRO:cls	elle
fait	VER:pres	faire
prend	VER:pres	prendre
la	DET:def	le
casserole	NOM	casserole
bing	NOM	<unknown>
elle	PRO:cls	elle
le	PRO:clo	le
lance	VER:pres	lancer
sur	PRP	sur
quelqu'un	PRO:ind	quelqu'un
moi	PRO:ton	moi
je	PRO:cls	je
lui	PRO:clo	lui
fait	VER:pres	faire
du	PRP:det	du
mal	NOM	mal
hein	INT	hein
mais	KON	mais
si	KON	si
un	DET:ind	un
vrai	ADJ	vrai
gens	NOM	gens
lance	VER:pres	lancer
une	DET:ind	un
vraie	ADJ	vrai
casserole	NOM	casserole
sur	PRP	sur
sur	PRP	sur
une	DET:ind	un
vraie	ADJ	vrai
personne	NOM	personne
moi	PRO:ton	moi
je	PRO:cls	je
je	PRO:cls	je
le	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
hein	INT	hein
tu	PRO:cls	tu
le	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
ben	INT	ben
oui	FNO	oui
et	KON	et
moi	PRO:ton	moi
une	DET:ind	un
fille	NOM	fille
qui	PRO:rel	qui
me	PRO:clo	me
combat	VER:pres	combattre
je	PRO:cls	je
la	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
pour	PRP	pour
la	PRO:clo	le
mettre	VER:infi	mettre
par	PRP	par
terre	NOM	terre
hum	FNO	hum
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
des	DET:ind	un
fois	NOM	fois
qui	PRO:rel	qui
te	PRO:clo	te
combattent	VER:pres	combattre
des	DET:ind	un
filles	NOM	fille
ben	INT	ben
les	DET:def	le
filles	NOM	fille
elles	PRO:cls	elle
.	VER:cond	<unknown>
aiment	VER:pres	aimer
pas	ADV	pas
mais	KON	mais
moi	PRO:ton	moi
quand	KON	quand
elles	PRO:cls	elle
me	PRO:clo	me
combattent	VER:pres	combattre
moi	PRO:ton	moi
moi	PRO:ton	moi
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
apprécie	VER:pres	apprécier
pas	ADV	pas
et	KON	et
puis	KON	puis
je	PRO:cls	je
les	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
hein	INT	hein
moi	PRO:ton	moi
mais	KON	mais
s-	TRC	s-
mais	KON	mais
tout	ADV	tout
seul	ADJ	seul
je	PRO:cls	je
les	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
tout	ADV	tout
seul	ADJ	seul
pouah	NOM	<unknown>
tu	PRO:cls	tu
dois	VER:pres	devoir
être	VER:infi	être
tout	PRO:ind	tout
fort	ADV	fort
ben	INT	ben
ouais	FNO	ouais
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
pourrais	VER:cond	pouvoir
être	VER:infi	être
plus	ADV	plus
fort	ADJ	fort
que	KON	que
Zoé	NOM	zoé
que	KON	que
Zoé	NOM	zoé
jambes	NOM	jambe
cassées	VER:pper	casser
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
Noé	NOM	<unknown>
Noé	NOM	<unknown>
jambes	NOM	jambe
cassées	VER:pper	casser
hein	INT	hein
ben	INT	ben
oui	FNO	oui
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
est	AUX:pres	être
blessé	VER:pper	blesser
alors	ADV	alors
il	PRO:cls	il
pourrait	VER:cond	pouvoir
pas	ADV	pas
hein	INT	hein
ben	INT	ben
non	FNO	non
il	PRO:cls	il
pourrait	VER:cond	pouvoir
pas	ADV	pas
se	PRO:clo	se
combattre	VER:infi	combattre
et	KON	et
lui	PRO:ton	lui
-ce	PRO:dem	ce
est	VER:pres	être
/quiqu'il/	MLT	<unknown>
pourrait	VER:cond	pouvoir
se	PRO:clo	se
combattre	VER:infi	combattre
et	KON	et
ben	INT	ben
non	FNO	non
je	PRO:cls	je
le	PRO:clo	le
mets	VER:pres	mettre
par	PRP	par
terre	NOM	terre
puisqu'il	ADJ	<unknown>
est	VER:pres	être
tout	ADV	tout
nu	ADJ	nu
bing	NOM	<unknown>
je	PRO:cls	je
lui	PRO:clo	lui
frotte	VER:pres	frotter
sur	PRP	sur
la	DET:def	le
xxx	NOM	<unknown>
pointus	ADJ	pointu
mm	NOM	<unknown>
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
bon	ADJ	bon
bing	NOM	<unknown>
ah	INT	ah
bah	INT	bah
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
sang	NOM	sang
ah	INT	ah
ouh	INT	ouh
ouh	INT	ouh
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
sang	NOM	sang
ouah	INT	ouah
ah	INT	ah
ouah	INT	ouah
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
sang	NOM	sang
on	PRO:cls	on
les	PRO:clo	le
.	VER:cond	<unknown>
a	AUX:pres	avoir
tous	PRO:ind	tout
vu	VER:pper	voir
non	FNO	non
oui	FNO	oui
Mireille	NAM	<unknown>
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
vu	VER:pper	voir
Mireille	NOM	<unknown>
/àavec/	MLT	<unknown>
les	DET:def	le
grandes	ADJ	grand
oreilles	NOM	oreille
Mireille	NOM	<unknown>
grandes	ADJ	grand
oreilles	NOM	oreille
euh	INT	euh
et	KON	et
puis	KON	puis
Gaetan	NAM	<unknown>
non	FNO	non
plus	ADV	plus
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
celui	PRO:dem	celui
çi	NOM	<unknown>
mm	NOM	<unknown>
ouf	NOM	ouf
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
qui	PRO:rel	qui
a	VER:pres	avoir
Gaetan	NAM	<unknown>
qui	PRO:rel	qui
a	VER:pres	avoir
deux	NUM	@card@
dents	NOM	dent
quoi	INT	quoi
Gaetan	NAM	<unknown>
qui	PRO:rel	qui
a	VER:pres	avoir
deux	NUM	@card@
dents	NOM	dent
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
que	KON	que
deux	NUM	@card@
dents	NOM	dent
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
là	ADV	là
beh	NOM	<unknown>
xxx	NOM	<unknown>
deux	NUM	@card@
dents	NOM	dent
il	PRO:clsi	il
y	PRO:clo	y
deux	NUM	@card@
dents	NOM	dent
hop	INT	hop
oui	FNO	oui
deux	NUM	@card@
dents	NOM	dent
mais	KON	mais
il	PRO:cls	il
peut	VER:pres	pouvoir
mais	KON	mais
xxx	NOM	<unknown>
ces	DET:dem	ce
deux	NUM	@card@
dents	NOM	dent
elles	PRO:cls	elle
elles	PRO:cls	elle
tombent	VER:pres	tomber
et	KON	et
puis	KON	puis
ting	NOM	<unknown>
ting	NOM	<unknown>
imagine	VER:impe	imaginer
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
il	PRO:cls	il
sent	VER:pres	sentir
il	PRO:cls	il
sent	VER:pres	sentir
ses	DET:pos	son
deux	NUM	@card@
dents	NOM	dent
bougées	VER:pper	bouger
et	KON	et
puis	KON	puis
après	ADV	après
il	PRO:cls	il
fait	VER:pres	faire
ding	NOM	<unknown>
oh	INT	oh
mes	DET:pos	mon
deux	NUM	@card@
dents	NOM	dent
sont	AUX:pres	être
arrachées	VER:pper	arracher
ping	NOM	<unknown>
ting	NOM	<unknown>
xxx	NOM	<unknown>
eh	INT	eh
j'	PRO:cls	je
ai	AUX:pres	avoir
